State,Year,Office,County,D#,R#,Prog.#,S#,Proh.#,SL#,SW#,Am.#,B&T#,TX Reg.#,I#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,C#,W/I#,LRU#,I1#,I2#,Year / Office
Texas,1912,President,Anderson,1737,444,104,299,6,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Andrews,77,1,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Angelina,1068,45,25,341,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Aransas,187,7,29,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Archer,457,25,42,78,5,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Armstrong,274,32,32,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Atascosa,593,34,62,82,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Austin,1161,244,77,11,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bailey,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bandera,412,158,130,78,10,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bastrop,1021,216,165,56,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Baylor,551,15,48,94,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bee,476,35,65,44,16,39,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bell,3024,128,42,231,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bexar,4864,1021,2508,256,26,22,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Blanco,448,126,76,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Borden,128,1,1,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bosque,1217,64,86,89,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Bowie,1542,317,218,474,15,7,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Brazoria,746,263,342,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Brazos,762,142,42,8,7,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Brewster,333,30,40,20,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Briscoe,148,2,5,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Brooks,402,13,164,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Brown,1433,115,129,181,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Burleson,771,228,79,19,3,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Burnet,623,85,67,42,7,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Caldwell,1068,56,82,20,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Calhoun,355,36,61,66,7,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Callahan,782,45,46,127,6,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Cameron,2146,149,126,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Camp,472,155,61,25,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Carson,200,21,55,20,4,20,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Cass,1284,402,239,225,25,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Castro,171,18,19,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Chambers,217,4,30,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Cherokee,1684,145,61,280,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Childress,721,34,44,81,3,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Clay,1002,54,138,95,8,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Cochran,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Coke,301,7,22,47,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Coleman,1280,52,59,212,7,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Collin,3187,342,223,310,16,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Collingsworth,414,14,25,54,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Colorado,1204,106,140,45,15,8,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Comal,602,157,174,30,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Comanche,1659,68,183,539,23,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Concho,326,16,32,87,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Cooke,1780,206,143,208,8,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Coryell,1271,67,77,61,1,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Cottle,277,8,18,109,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Crane,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Crockett,53,5,4,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Crosby,247,7,41,64,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Culberson,145,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Dallam,247,18,68,60,8,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Dallas,7725,590,1258,356,109,9,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Dawson,74,7,4,21,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Deaf Smith,221,21,22,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Delta,705,57,35,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Denton,2287,189,113,181,17,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Dewitt,1081,219,162,27,2,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Dickens,277,11,38,107,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Dimmit,292,131,52,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Donley,387,12,36,41,3,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Duval,915,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Eastland,1498,66,79,388,12,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Ector,89,3,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Edwards,133,114,79,52,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,El Paso,2914,291,799,122,12,4,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Ellis,3483,293,159,124,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Erath,1569,156,158,351,22,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Falls,1663,353,190,192,4,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Fannin,2661,227,222,279,19,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Fayette,2011,461,213,96,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Fisher,572,21,0,124,11,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Floyd,381,22,40,92,16,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Foard,429,18,41,122,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Fort Bend,679,276,145,35,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Franklin,573,19,9,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Freestone,1305,475,29,175,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Frio,418,25,50,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Gaines,68,0,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Galveston,2513,336,468,124,40,18,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Garza,144,7,13,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Gillespie,307,219,1070,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Glasscock,60,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Goliad,500,425,76,68,5,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Gonzales,1327,318,98,80,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Gray,272,13,71,56,9,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Grayson,3938,411,443,378,59,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Gregg,590,129,27,33,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Grimes,941,35,51,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Guadalupe,1128,1065,538,15,5,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hale,554,26,63,45,7,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hall,773,24,46,124,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hamilton,992,67,120,51,6,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hansford,93,12,35,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hardeman,843,36,62,116,8,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hardin,979,101,120,202,5,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Harris,6409,726,1124,746,61,68,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Harrison,1140,140,84,60,19,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hartley,116,16,29,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Haskell,1016,45,53,347,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hays,939,60,52,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hemphill,312,61,116,32,5,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Henderson,1370,137,78,414,5,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hidalgo,1203,39,94,42,11,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hill,2674,129,143,114,23,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hockley,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hood,674,38,62,60,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hopkins,1999,146,80,288,19,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Houston,1457,342,64,243,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Howard,530,22,32,114,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hunt,3410,225,213,369,43,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Hutchinson,71,16,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Irion,132,0,4,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jack,755,85,95,218,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jackson,323,35,88,82,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jasper,628,40,44,208,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jeff Davis,129,62,10,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jefferson,1703,187,319,173,11,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jim Wells,241,24,42,43,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Johnson,2473,109,110,362,5,4,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Jones,1301,63,55,196,4,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Karnes,710,66,49,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Kaufman,2039,248,102,268,8,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Kendall,200,119,178,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Kent,135,7,19,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Kerr,577,126,146,37,5,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Kimble,133,19,18,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,King,77,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Kinney,76,97,91,14,1,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Knox,643,32,54,125,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,La Salle,339,21,35,16,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lamar,2286,206,108,146,7,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lamb,53,6,18,0,9,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lampasas,517,67,69,63,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lavaca,1455,265,236,194,5,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lee,687,134,65,100,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Leon,856,191,57,266,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Liberty,584,81,106,74,6,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Limestone,1667,153,79,216,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lipscomb,251,47,105,51,11,4,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Live Oak,308,26,45,20,0,8,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Llano,432,29,45,38,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Loving,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lubbock,366,16,27,12,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Lynn,121,6,3,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Madison,379,37,23,47,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Marion,339,85,36,0,19,6,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Martin,125,4,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Mason,472,152,171,82,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Matagorda,710,107,174,92,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Maverick,186,143,72,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,McCulloch,595,41,61,146,6,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,McLennan,3829,295,310,172,27,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,McMullen,50,9,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Medina,648,219,263,27,5,4,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Menard,109,15,39,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Midland,215,10,11,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Milam,1939,244,110,488,6,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Mills,573,92,68,179,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Mitchell,573,19,32,79,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Montague,1531,151,114,341,9,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Montgomery,613,120,112,100,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Moore,57,5,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Morris,191,89,48,13,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Motley,193,8,15,29,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Nacogdoches,1614,94,42,339,7,5,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Navarro,2589,165,128,158,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Newton,278,11,17,46,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Nolan,655,60,24,70,8,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Nueces,910,85,125,172,15,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Ochiltree,93,0,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Oldham,92,22,18,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Orange,549,22,45,46,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Palo Pinto,1231,68,88,366,24,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Panola,1203,82,59,182,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Parker,1700,135,146,406,17,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Parmer,107,6,62,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Pecos,256,76,83,10,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Polk,615,41,42,77,5,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Potter,801,41,124,84,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Presidio,187,87,66,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Rains,444,67,20,235,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Randall,269,21,29,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Reagan,34,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Red River,1498,255,203,140,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Reeves,278,8,43,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Refugio,204,115,34,34,9,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Roberts,183,16,31,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Robertson,1051,153,53,62,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Rockwall,642,0,0,23,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Runnels,1117,56,73,199,9,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Rusk,1453,488,77,212,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Sabine,425,19,10,57,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,San Augustine,375,12,18,76,11,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,San Jacinto,377,196,46,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,San Patricio,551,175,73,70,24,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,San Saba,692,39,35,165,7,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Schleicher,124,3,13,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Scurry,661,31,22,89,11,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Shackelford,246,18,23,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Shelby,1507,76,20,287,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Sherman,96,22,24,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Smith,1936,485,417,388,22,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Somervell,241,12,20,103,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Starr,674,252,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Stephens,462,11,4,93,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Sterling,165,4,9,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Stonewall,341,7,12,118,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Sutton,62,12,17,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Swisher,278,23,36,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Tarrant,7222,548,1113,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Taylor,1536,59,90,188,5,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Terrell,118,36,39,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Terry,96,6,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Throckmorton,252,4,13,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Titus,943,70,87,151,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Tom Green,906,50,90,65,5,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Travis,2741,468,454,183,40,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Trinity,657,112,44,129,3,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Tyler,534,32,11,79,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Upshur,896,168,61,76,8,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Upton,28,2,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Uvalde,601,53,73,45,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Val Verde,298,196,133,23,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Van Zandt,1790,110,104,829,13,6,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Victoria,687,100,162,53,8,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Walker,631,323,39,53,0,3,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Waller,594,144,98,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Ward,147,6,35,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Washington,1111,546,193,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Webb,654,888,31,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wharton,793,109,195,129,13,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wheeler,402,35,50,65,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wichita,1124,108,132,98,7,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wilbarger,993,44,71,188,5,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Willacy,102,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Williamson,2014,246,192,101,17,2,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wilson,778,95,113,44,5,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Winkler,26,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wise,1842,156,151,140,12,11,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Wood,1441,146,73,350,15,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Yoakum,40,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Young,922,35,47,182,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Zapata,0,199,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1912,President,Zavala,242,44,56,66,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Anderson,1984,501,,187,5,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Andrews,71,0,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Angelina,1344,75,,335,2,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Aransas,179,24,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Archer,527,104,,34,6,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Armstrong,353,43,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Atascosa,635,119,,44,12,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Austin,960,673,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bailey,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bandera,537,168,,44,3,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bastrop,1335,550,,21,3,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Baylor,711,47,,74,4,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bee,584,152,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bell,3615,356,,162,34,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bexar,7008,5483,,187,36,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Blanco,628,235,,19,3,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Borden,84,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bosque,1561,179,,73,4,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Bowie,1941,414,,273,6,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Brazoria,1033,581,,80,34,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Brazos,1027,273,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Brewster,207,43,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Briscoe,260,4,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Brooks,101,63,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Brown,1986,181,,104,6,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Burleson,1208,262,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1916,President,Burnet,913,115,,23,7,,,,,,,,,,,,,,,,,,,,,,,,,
